更新时间: 2025-11-25 03:23:20（北京时间）

更新时间,#genre#
2025-11-25 03:23:20,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://121.56.186.21:4022/rtp/239.29.0.113:5000$内蒙古电信
CCTV1,http://116.30.248.139:9876/rtp/239.77.0.86:5146$广东电信
CCTV1,http://180.117.136.123:55555/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://113.110.203.130:55555/rtp/239.77.0.86:5146$广东电信
CCTV1,http://111.227.41.176:7000/rtp/239.254.200.45:8008$河北省电信
CCTV1,http://180.159.98.21:10001/rtp/239.45.3.145:5140$上海市电信
CCTV1,http://113.25.107.142:10000/rtp/239.1.1.7:8007$山西电信
CCTV1,http://183.30.202.8:8000/rtp/239.77.0.86:5146$广东电信
CCTV1,http://116.30.248.183:9876/rtp/239.77.0.86:5146$广东电信
CCTV2,http://121.56.186.21:4022/rtp/239.29.0.116:5000$内蒙古电信
CCTV2,http://116.30.248.139:9876/rtp/239.77.0.137:5146$广东电信
CCTV2,http://180.117.136.123:55555/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://113.110.203.130:55555/rtp/239.77.0.137:5146$广东电信
CCTV2,http://111.227.41.176:7000/rtp/239.254.200.158:6000$河北省电信
CCTV2,http://180.159.98.21:10001/rtp/239.45.3.208:5140$上海市电信
CCTV2,http://113.25.107.142:10000/rtp/239.1.1.8:8008$山西电信
CCTV2,http://183.30.202.8:8000/rtp/239.77.0.137:5146$广东电信
CCTV2,http://116.30.248.183:9876/rtp/239.77.0.137:5146$广东电信
CCTV3,http://121.56.186.21:4022/rtp/239.29.1.133:5000$内蒙古电信
CCTV3,http://116.30.248.139:9876/rtp/239.77.0.169:5146$广东电信
CCTV3,http://116.30.248.139:9876/rtp/239.77.1.7:5146$广东电信
CCTV3,http://180.117.136.123:55555/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://113.110.203.130:55555/rtp/239.77.0.169:5146$广东电信
CCTV3,http://113.110.203.130:55555/rtp/239.77.1.7:5146$广东电信
CCTV3,http://111.227.41.176:7000/rtp/239.254.201.152:7205$河北省电信
CCTV3,http://180.159.98.21:10001/rtp/239.45.1.68:5140$上海市电信
